Sprint,Action,Sub-Action,Estimated Hours,Category,Due Date,Status
Sprint 1,Frontend Setup,Install Node.js and React,0.5,Frontend,3/13/2023,Complete
Sprint 1,Frontend Setup,Setup React project with ESBuild,1.5,Frontend,3/14/2023,Complete
Sprint 1,Frontend UI,Create basic UI layout,4,Frontend,3/15/2023,Complete
Sprint 1,Frontend UI,Implement Tweet feed with new tweet form,2,Frontend,3/16/2023,Complete
Sprint 1,Frontend UI,Implement Trend/Suggested User section,1.5,Frontend,3/18/2023,Complete
Sprint 1,Frontend UI,Implement User Profile page,3,Frontend,3/20/2023,Complete
Sprint 1,Backend Setup,Install Ruby and Rails,0.5,Backend,3/13/2023,Complete
Sprint 1,Backend Setup,Setup Rails project with ESBuild,0.5,Backend,3/14/2023,Complete
Sprint 1,User Authentication,Setup Devise,0.5,Backend,3/16/2023,Complete
